month,revenue_usd,collections_usd,payroll_usd,materials_usd,other_opex_usd,bank_eom_usd
2025-10,215000,238000,158000,64000,31000,74200
2025-11,268000,229000,166000,81000,30000,26200
2025-12,312000,281000,174000,94000,33000,6200
2026-01,341000,318000,182000,102000,34000,6200
2026-02,318000,336000,174000,95000,32000,41200
2026-03,236000,289000,166000,71000,31000,62200
2026-04,198000,241000,158000,59000,30000,56200
2026-05,224000,207000,158000,67000,31000,7200
2026-06,289000,248000,166000,88000,32000,-30800
2026-07,334000,301000,182000,100000,34000,-45800
2026-08,321000,347000,174000,96000,33000,-1800
2026-09,244000,296000,166000,72000,31000,25200
2026-10,228000,266000,164000,68000,32000,27200
2026-11,284000,267000,172000,86000,31000,5200
2026-12,331000,316000,180000,100000,34000,7200
2027-01,361000,337000,188000,108000,35000,13200
2027-02,337000,356000,180000,101000,33000,55200
2027-03,250000,306000,172000,75000,32000,82200
2027-04,210000,255000,164000,63000,31000,79200
2027-05,237000,219000,164000,71000,32000,31200
2027-06,306000,263000,172000,92000,33000,-2800
2027-07,354000,319000,188000,106000,35000,-12800
2027-08,340000,368000,180000,102000,34000,39200
2027-09,259000,314000,172000,77000,32000,72200
